event_id,user_id,workspace_id,module_tag,response_latency_ms,response_tokens,retrieved_chunks,is_cached,created_at
ev_fd36e47658464487,u_00100,ws_0017,civile,3683,1491,6,false,2026-03-03T06:30:20.861271+00:00
ev_4b004c3c9ccb480b,u_00419,ws_0041,societario,147,66,5,true,2026-02-26T22:13:34.266290+00:00
ev_3eb28bc7da7a40af,u_00589,ws_0071,civile,4575,1862,4,false,2026-02-19T17:57:44.315097+00:00
ev_9769867e4e02481c,u_00089,ws_0017,penale,3172,1053,7,false,2026-04-11T15:36:56.667356+00:00
ev_2a15f1da36fa4f93,u_00092,ws_0017,lavoro,92,21,5,true,2026-02-20T02:35:26.345383+00:00
ev_7dfd88fbe65e479a,u_00148,ws_0019,civil,124,103,8,true,2026-03-26T23:10:05.733197+00:00
ev_909168ebde2343b7,u_00624,ws_0074,lavoro,3297,1318,7,false,2026-03-13T06:04:23.310421+00:00
ev_02fe04b4f08f43be,u_00241,ws_0026,amministrativo,1237,414,5,false,2026-03-11T06:06:46.874598+00:00
ev_5f44168abd02426e,u_00290,ws_0029,penale,3841,1457,8,false,2026-04-08T22:45:54.083765+00:00
ev_b2c34d80d9574b23,u_00089,ws_0017,amministrativo,3202,1347,6,false,2026-02-11T04:55:55.735426+00:00
ev_bdf1a9ceaf824230,u_00345,ws_0036,penale,2459,840,5,false,2026-02-04T10:28:36.380316+00:00
ev_0353f59762584592,u_00102,ws_0017,civile,4439,1883,6,false,2026-03-19T23:22:41.575965+00:00
ev_fd3795c4aac847b6,u_00197,ws_0020,societario,4366,1850,9,false,2026-02-10T04:39:43.734698+00:00
ev_c0a41574799a4e2f,u_00124,ws_0018,civile,4666,1941,3,false,2026-02-23T14:55:21.432070+00:00
ev_f25ccd6501ac4683,u_00469,ws_0051,lavoro,3911,1451,6,false,2026-02-17T02:56:36.850076+00:00
ev_becba34ced404d60,u_00009,ws_0003,societario,4307,1743,1,false,2026-03-08T21:35:38.929782+00:00
ev_3c6becaa2f704137,u_00054,ws_0008,lavoro,3273,1345,6,false,2026-03-25T11:50:00.078781+00:00
ev_06f2bbeb326d4497,u_00364,ws_0036,lavoro,3028,1245,6,false,2026-03-19T00:01:09.543926+00:00
ev_c7016936b85b44eb,u_00393,ws_0041,civile,159,69,8,true,2026-04-05T05:58:48.190490+00:00
ev_f773ce17984c4d14,u_00340,ws_0035,civile,3967,1725,7,false,2026-02-26T22:35:48.679152+00:00
ev_38dfd8fb8498408f,u_00195,ws_0020,civile,2483,1028,7,false,2026-02-28T05:45:25.763339+00:00
ev_a0a8809672a34874,u_00362,ws_0036,societario,3315,1273,3,false,2026-02-22T21:56:01.422525+00:00
ev_113f7a9067e14a70,u_00171,ws_0020,civile,3260,1270,7,false,2026-03-07T07:55:30.812602+00:00
ev_17e1353aa8774058,u_00427,ws_0041,civile,3030,1245,6,false,2026-02-23T01:56:33.533321+00:00
ev_4176f513f70e417a,u_00090,ws_0017,civile,76,20,6,true,2026-03-01T22:55:07.621263+00:00
ev_fd7cfb97eff14414,u_00661,ws_0077,tributario,3625,1412,6,false,2026-02-17T07:05:19.765548+00:00
ev_fbf0191182b243cc,u_00031,ws_0005,lavoro,2979,1179,3,false,2026-04-01T07:08:47.079674+00:00
ev_1ce85ddaff524b41,u_00193,ws_0020,penale,2919,1282,4,false,2026-02-09T08:05:31.700725+00:00
ev_348b6a17aaeb4a2e,u_00669,ws_0077,societario,4898,1966,4,false,2026-03-11T19:08:42.075697+00:00
ev_75cabb04839f4f6a,u_00294,ws_0029,civile,5883,2354,6,false,2026-03-08T08:50:12.338481+00:00
ev_a300a5396dd440f8,u_00503,ws_0061,societario,1346,483,10,false,2026-03-15T13:42:34.697524+00:00
ev_a8e57c7fb9064ede,u_00434,ws_0041,civile,3030,1099,7,false,2026-02-22T09:20:42.411677+00:00
ev_02561755d63040fe,u_00540,ws_0066,civile,4610,1831,6,false,2026-03-06T02:34:48.953316+00:00
ev_5d9feb3d41094b9a,u_00265,ws_0029,tributario,4297,1586,4,false,2026-02-13T08:15:12.232674+00:00
ev_13912ba06aab45ff,u_00550,ws_0067,penale,2844,989,9,false,2026-02-28T12:59:21.957901+00:00
ev_79a371ce79e44e0b,u_00117,ws_0017,civile,2289,1108,1,false,2026-02-19T13:50:20.438221+00:00
ev_309d24fe6bcd4e3c,u_00044,ws_0005,amministrativo,4360,1784,6,false,2026-03-26T00:31:16.232445+00:00
ev_9016279b894b488f,u_00549,ws_0067,lavoro,2884,1204,4,false,2026-03-21T22:28:11.766986+00:00
ev_cba218636aee409c,u_00125,ws_0018,civile,3528,1339,6,false,2026-02-04T09:39:17.155155+00:00
ev_a02bc1287be44e76,u_00039,ws_0005,lavoro,3023,1262,7,false,2026-03-02T05:41:20.070565+00:00
ev_97d172e7b8124ca2,u_00599,ws_0072,lavoro,1387,699,6,false,2026-02-24T17:54:38.080729+00:00
ev_b043eb577b40436a,u_00054,ws_0008,lavoro,4395,1770,6,false,2026-02-15T11:55:03.556711+00:00
ev_7aae1c426e7542b1,u_00298,ws_0030,civile,3513,1291,7,false,2026-02-10T16:57:01.156553+00:00
ev_c8cb518bf14b4fe0,u_00037,ws_0005,lavoro,3601,1388,4,false,2026-03-08T15:56:19.996831+00:00
ev_caf8ace69e4d4799,u_00143,ws_0018,civile,3176,1322,4,false,2026-02-15T18:33:48.014850+00:00
ev_8729ba81ace940af,u_00463,ws_0051,civile,2960,1110,3,false,2026-03-03T20:26:56.547715+00:00
