feedback_id,event_id,user_id,thumbs,reason_tag,free_text,created_at
fb_126da69ffe5b464d,ev_ac9a2deabd3b46b9,u_00192,-1,hallucination,,2026-03-03T02:05:27.052886+00:00
fb_6104275abd3e4de2,ev_4d1c7d3d494f42fe,u_00642,1,,,2026-02-25T20:20:31.504527+00:00
fb_c055b00ffe0048c9,ev_641f5db4b1584a68,u_00390,-1,hallucination,,2026-04-04T14:04:23.174687+00:00
fb_60ab8386b7424800,ev_40a5c8091baa4ae9,u_00296,1,,,2026-04-07T15:33:02.031335+00:00
fb_45a93d4cc933443d,ev_9999fb8b0d6c442b,u_00256,-1,incomplete,,2026-03-22T18:16:16.598757+00:00
fb_4ab4c03b44a742e8,ev_6b165e4008ef4dc2,u_00674,1,,,2026-02-28T20:51:02.319877+00:00
fb_d093b9bc5e754db1,ev_8fa2bd0d09f747d1,u_00430,-1,,,2026-03-14T02:35:12.725377+00:00
fb_d1a23ed6c6454fd6,ev_fe4ec344fce84923,u_00607,-1,wrong_answer,,2026-03-04T11:01:45.217314+00:00
fb_a9772c96403a4a4c,ev_0acc416915f3408f,u_00289,1,,,2026-03-11T11:31:09.096528+00:00
fb_a25c9455aab1424e,ev_62ca1030b72c4b4f,u_00276,-1,,,2026-03-04T15:26:03.251787+00:00
fb_ef35cb44e3984a6c,ev_5ca23ca8cfb34a47,u_00524,1,,saved me 30 minutes,2026-02-27T08:39:58.491813+00:00
fb_b717fc0e0ebb49a9,ev_7544b4ca6c354833,u_00285,-1,,,2026-03-10T07:56:18.575266+00:00
fb_2f6da212f6be4ee0,ev_2b92bbcc1c584693,u_00578,-1,hallucination,,2026-02-16T21:51:00.889128+00:00
fb_62f829840bbb49d9,ev_a0bd2d430540463c,u_00028,2,,,2026-03-05T10:36:04.549623+00:00
fb_c55e21ee4ca44bbd,ev_c832fdb1e5c94db5,u_00005,1,,,2026-02-11T03:54:50.382790+00:00
fb_ba89d851ca154270,ev_28dbd569d3cc4d87,u_00646,1,,,2026-02-23T18:12:52.772476+00:00
fb_371def96b6374231,ev_fcb98fd0b3fc4a10,u_00485,1,,,2026-04-04T09:28:47.331666+00:00
fb_ff4522ac4b4b4a87,ev_37abdf8e91ae4b64,u_00379,-1,wrong_answer,not relevant to Italian law,2026-03-01T16:12:04.903907+00:00
fb_9e65c414091c43e8,ev_dc95b3e65bc845ca,u_00531,1,,,2026-03-12T14:51:36.560643+00:00
fb_4f19f283da904a04,ev_ee8bdf7d63724f68,u_00530,1,,,2026-03-12T05:13:13.444020+00:00
fb_040b4f45218d472f,ev_aa79f9f638af4fe8,u_00124,1,,,2026-02-21T20:07:16.981304+00:00
fb_c8ee539dc19c467d,ev_cf92ac7701514695,u_00495,-1,wrong_answer,,2026-02-20T01:06:17.694300+00:00
fb_eec1583e744f47e2,ev_c4a438d44f164f99,u_00560,1,,,2026-02-23T22:25:02.466631+00:00
fb_3a05f485db9f4c0b,ev_daeaf3c3fb1f4974,u_00508,1,,,2026-02-22T15:33:21.788047+00:00
fb_1c72f564a5204539,ev_d29ccd2596d6499f,u_00175,-1,wrong_answer,,2026-03-05T18:15:32.855191+00:00
fb_4ae062394cd04295,ev_5bb07a5860a74819,u_00408,-1,other,,2026-02-09T01:24:47.512602+00:00
fb_1782fb04108f4396,ev_54765cbb4cbe4c53,u_00160,1,,,2026-02-16T13:23:30.335162+00:00
fb_b340a2a1bfb34a46,ev_cf6cf5dac945417a,u_00120,1,,saved me 30 minutes,2026-02-12T02:56:53.835575+00:00
fb_f6fb257212324ad8,ev_f7fc8c43c434424b,u_00405,1,,,2026-02-24T22:07:56.594648+00:00
fb_f2c178cfbbdb48ce,ev_b8ca5ae2e7d74061,u_00449,1,,,2026-02-13T05:43:26.615304+00:00
fb_2e6eebdb12b84588,ev_b8314cef63fd4f2f,u_00462,-1,incomplete,too generic,2026-02-10T06:48:06.897073+00:00
fb_2066e18c315c4720,ev_71fd3e8447a949e2,u_00549,1,,,2026-02-03T08:07:22.707585+00:00
fb_b907d201e3ef4a88,ev_82ef0b6397a343e8,u_00508,1,,,2026-02-13T15:41:06.874344+00:00
fb_efa210f00a6e47d5,ev_9f71685b535e4729,u_00036,1,,,2026-02-27T04:13:29.650998+00:00
fb_529849e91479412e,ev_0ac189ce3d284b53,u_00618,-1,wrong_answer,,2026-02-09T06:03:21.941720+00:00
fb_7696d54a299b4df3,ev_7a09da72901e40eb_orphan,u_00467,1,,,2026-04-09T00:00:00+00:00
fb_5fcc352c2d5040c2,ev_12df15541bb846fb_orphan,u_00024,1,,,2026-03-27T00:00:00+00:00
fb_f39f1ae070344573,ev_e0f607350c86437b,u_00335,1,,,2026-04-05T03:32:46.973557+00:00
fb_62677c42d4dc4b7c,ev_f2d1fb3299fc4182,u_00470,-1,incomplete,,2026-03-24T00:47:17.241665+00:00
fb_6dd007fd57df4a26,ev_ff68fea0799b4dde,u_00609,-1,,,2026-02-24T07:55:34.867366+00:00
fb_2e2ebe77ee044489,ev_43951840f1ff4460,u_00074,-1,wrong_answer,,2026-02-28T04:52:46.316150+00:00
fb_ea7ac9d2033a40bd,ev_e21414accc954457,u_00345,1,,,2026-03-23T08:13:38.005641+00:00
fb_bffbf349a03749a8,ev_2b51efe5aba74086,u_00052,1,,,2026-02-09T02:23:50.798070+00:00
fb_9a1c48e3bad042f0,ev_bcbf55c4db8c486f,u_00547,-1,,,2026-02-25T23:13:18.548017+00:00
fb_a47c4e8dc0df42c8,ev_94b5a960c85647eb,u_00622,1,,,2026-02-25T09:15:24.346303+00:00
fb_b99cecd9d70a48cb,ev_b70ff10b24ec46b6,u_00548,1,,,2026-03-25T08:53:11.730831+00:00
fb_4fc2eb6615294fd5,ev_589323c174424d20,u_00539,-1,slow,,2026-02-12T23:52:23.320670+00:00
fb_c5da6a6a354d494a,ev_8460f7d860bd4cea,u_00290,1,,,2026-03-02T02:15:17.778900+00:00
fb_87da9ba55c8b41e8,ev_e01eb88b88a242bf,u_00042,1,,,2026-02-19T18:51:36.110577+00:00
fb_872f72bb0fd84d04,ev_048994cb31d945aa,u_00383,1,,,2026-02-12T18:29:54.701664+00:00
fb_d543ba09520d4937,ev_4dfe75612201409d,u_00141,1,,,2026-02-12T00:10:59.484989+00:00
fb_762a11715e1e473e,ev_f022026f374d4f6a,u_00524,1,,,2026-03-20T05:01:32.003287+00:00
fb_1a59556508f5459b,ev_378fad1b3b74486b,u_00620,1,,,2026-02-19T21:18:59.210073+00:00
fb_2394ac602ce340a9,ev_cfdc1df51e5a4b7b,u_00175,1,,,2026-03-07T20:54:18.978993+00:00
fb_9fd0d6f06112487f,ev_8b7ad7fea17a4ec6,u_00629,1,,,2026-02-10T03:44:49.806082+00:00
fb_9049ce504f384daa,ev_66ecf8ef2aae4f1b_orphan,u_00082,-1,other,,2026-03-21T00:00:00+00:00
fb_859be0c6ae6e4d19,ev_fe9185463a754b49,u_00261,1,,,2026-03-13T04:19:15.410642+00:00
fb_4c3460d812b34da1,ev_7ade7ace8812454f,u_00321,1,,,2026-02-19T01:18:09.821121+00:00
fb_91f7802790864469,ev_4a466922a1aa4684,u_00613,-1,,,2026-03-02T00:35:03.243575+00:00
fb_6417ae3affa54065,ev_a94d4e77ec784b9f,u_00635,1,,,2026-03-09T03:16:27.840068+00:00
fb_cc99616395de4ba1,ev_4b2c5c86b8a04e38,u_00017,1,,,2026-03-05T14:40:49.783267+00:00
fb_820d606fb543488f,ev_84338265331a47b4,u_00396,-1,incomplete,,2026-04-06T13:00:26.195655+00:00
fb_53d225e118104f98,ev_90ebde3c60684cf9,u_00679,1,,,2026-02-10T22:05:13.084998+00:00
fb_c5bed26a0dc846e5,ev_6e2eca7df68d4aef,u_00162,1,,,2026-03-19T09:49:40.529683+00:00
fb_9b89a8f973b743aa,ev_3ddca36267274f52,u_00505,1,,,2026-02-25T17:43:04.092183+00:00
fb_e4193e1ec46e4b9c,ev_cf045c91ee604de2,u_00431,-1,wrong_answer,not relevant to Italian law,2026-04-12T03:50:13.722500+00:00
fb_d40d6234c6ed47d6,ev_30a3ddad69b84725,u_00395,1,,,2026-03-31T08:49:05.263228+00:00
fb_10ec017467dc4d5a,ev_e0e0cfe4e08f43bb,u_00425,-1,hallucination,,2026-03-11T01:54:05.864808+00:00
fb_870277a142d2462a,ev_ac7b23757b7b43ae,u_00004,-1,wrong_answer,,2026-02-23T11:57:56.140942+00:00
fb_5fadf772b9994183,ev_78c184fd9084437c,u_00089,1,,,2026-02-14T07:40:42.931403+00:00
fb_7da0e59072ec45e5,ev_0195f41b01d34916,u_00099,-1,wrong_answer,,2026-02-19T06:34:18.256092+00:00
fb_7edf28f652ac42de,ev_10f44fbfc14a446a,u_00498,1,,,2026-03-12T04:24:27.225921+00:00
fb_9d176cbafb154c10,ev_a60195a5ed634c75,u_00024,-1,incomplete,,2026-02-27T13:19:30.896069+00:00
fb_1b351bee73de423e,ev_61e677a10abb4f97,u_00665,1,,perfect!,2026-02-26T02:32:55.706369+00:00
fb_683816cd5280436e,ev_e5fc1b4aeec04823,u_00350,1,,,2026-04-03T12:21:44.602027+00:00
fb_4962d67f9bcb4002,ev_77479d3591bc4f61,u_00638,1,,,2026-03-12T02:11:57.053666+00:00
fb_983d35a4939c42d5,ev_51588c3be9504c01,u_00353,1,,,2026-03-04T08:25:58.064223+00:00
fb_0cad1a7bb83f4fdf,ev_afb6ca46338c4a98,u_00287,1,,perfect!,2026-02-15T14:08:45.866671+00:00
fb_e8933c12c87e4bb4,ev_569709417ffc4c28,u_00039,1,,,2026-02-11T10:32:56.995681+00:00
fb_a62544dd1e66445d,ev_2705535828d743a6,u_00269,1,,,2026-04-12T20:55:24.893797+00:00
fb_aa51b46c3bb7430b,ev_9d25bc593b1e445b,u_00590,1,,,2026-02-23T01:03:36.395656+00:00
fb_722ed21dae8f4abd,ev_20c7e36465dc42e2,u_00088,1,,good citations,2026-03-27T11:27:03.102789+00:00
fb_e5242fb3a84c4866,ev_29f18819b27e4b93,u_00287,1,,,2026-02-25T05:08:00.133525+00:00
fb_5d3c60fd5ea7413a,ev_217be6d9f7f74209,u_00342,1,,,2026-03-22T09:03:31.094964+00:00
fb_0d1434ef1a8d4851,ev_32514648d8c14bd5,u_00658,-1,wrong_answer,answer was wrong,2026-02-28T18:41:33.162896+00:00
fb_9ce43e32e9204d07,ev_de7e0328d4a04a1f,u_00669,1,,,2026-02-21T11:30:52.069449+00:00
fb_cca846f4edf04273,ev_27a7a095629b48e0,u_00600,1,,,2026-04-12T06:59:26.830336+00:00
fb_f96da89381b44098,ev_cd66a2808d274d76,u_00092,1,,,2026-02-16T16:54:46.887632+00:00
fb_473f36b78e5044ba,ev_297a1ce2dcf643aa,u_00403,1,,,2026-03-11T09:03:13.387331+00:00
fb_5d2963d9be6248db,ev_e9d18f84e9f34021,u_00662,1,,,2026-02-08T22:36:45.524481+00:00
fb_b640479151824e6c,ev_6a121a9f37794c76,u_00297,1,,,2026-02-08T03:04:16.663992+00:00
fb_ce44f51b724d4c75,ev_30c2095acc22429f,u_00411,-1,other,,2026-03-31T21:10:21.970493+00:00
fb_af9cbaf0268d4460,ev_dc69b1b94ff04e2e,u_00189,1,,,2026-03-16T05:09:39.768767+00:00
fb_75d712b0a06c4814,ev_f521b12354014f60,u_00400,-1,incomplete,missing a key citation,2026-02-17T10:22:23.231716+00:00
fb_ad5ce59a8d6d45c3,ev_1d07e0c599004e62,u_00655,1,,,2026-03-24T10:30:59.825278+00:00
fb_5697447f1da246ae,ev_a19f223dfa314ab7,u_00543,1,,,2026-03-25T05:16:30.344765+00:00
fb_e003d505c3e04271,ev_18bea1e1b13b41b1,u_00553,1,,,2026-03-26T07:00:05.115137+00:00
fb_f3a31084e3af4a81,ev_1773d39abeee44c3,u_00463,-1,wrong_answer,,2026-04-03T20:44:27.852892+00:00
fb_25d25534ae734b9e,ev_f240641fe3114562,u_00261,1,,,2026-03-01T19:15:25.310932+00:00
fb_ea35eb57b2ee431d,ev_8a3915c7c40f48a2,u_00646,1,,,2026-03-12T11:48:02.469634+00:00
fb_7cea81af891645c0,ev_0b74655ef5f748f5,u_00430,1,,,2026-03-15T05:01:27.091032+00:00
fb_ff093de947f74e91,ev_4943bf128474465e_orphan,u_00523,1,,,2026-04-05T00:00:00+00:00
fb_6371727fe86b4419,ev_8ce66952780643b9,u_00179,1,,,2026-03-14T02:57:17.127618+00:00
fb_2f62cd613c7c4835,ev_79c3e2ed27d04824,u_00386,1,,,2026-03-16T11:08:01.943544+00:00
fb_20f5d9b26ad64e8b,ev_01a2fadc666641c0,u_00172,1,,,2026-03-25T09:10:57.303805+00:00
fb_220c07e5864047ca,ev_7ab4516a30cd4fc4,u_00137,-1,wrong_answer,,2026-03-02T16:09:40.280510+00:00
fb_43815e6c96374899,ev_686d46412c37412c,u_00060,-1,hallucination,,2026-02-28T15:18:31.641585+00:00
