user_id,workspace_id,role,created_at,is_deleted
u_00193,ws_0020,associate,2025-01-04T00:00:00+00:00,false
u_00112,ws_0017,associate,2025-07-13T00:00:00+00:00,true
u_00090,ws_0017,associate,2024-12-10T00:00:00+00:00,false
u_00450,ws_0046,associate,2025-07-01T00:00:00+00:00,false
u_00414,ws_0041,partner,2025-04-07T00:00:00+00:00,false
u_00217,ws_0023,paralegal,2025-04-10T00:00:00+00:00,false
u_00339,ws_0035,paralegal,2025-11-01T00:00:00+00:00,false
u_00426,ws_0041,associate,2025-07-03T00:00:00+00:00,false
u_00403,ws_0041,partner,2025-10-11T00:00:00+00:00,false
u_00491,ws_0060,partner,2025-02-20T00:00:00+00:00,false
u_00128,ws_0018,associate,2024-12-24T00:00:00+00:00,false
u_00314,ws_0033,associate,2025-01-01T00:00:00+00:00,false
u_00338,ws_0035,partner,2025-10-16T00:00:00+00:00,false
u_00124,ws_0018,associate,2026-01-08T00:00:00+00:00,false
u_00065,ws_0009,associate,2024-12-08T00:00:00+00:00,true
u_00415,ws_0041,in_house_counsel,2025-12-08T00:00:00+00:00,false
u_00466,ws_0051,partner,2025-05-15T00:00:00+00:00,false
u_00208,ws_0021,associate,2025-04-11T00:00:00+00:00,false
u_00508,ws_0061,associate,2025-10-04T00:00:00+00:00,false
u_00156,ws_0019,associate,2026-04-05T00:00:00+00:00,false
u_00173,ws_0020,associate,2025-11-15T00:00:00+00:00,false
u_00150,ws_0019,partner,2025-01-01T00:00:00+00:00,false
u_00626,ws_0075,paralegal,2025-11-13T00:00:00+00:00,false
u_00234,ws_0025,associate,2025-12-15T00:00:00+00:00,false
u_00282,ws_0029,associate,2025-07-14T00:00:00+00:00,false
u_00092,ws_0017,associate,2026-01-21T00:00:00+00:00,false
u_00422,ws_0041,partner,2024-11-21T00:00:00+00:00,false
u_00277,ws_0029,associate,2025-03-30T00:00:00+00:00,false
u_00452,ws_0047,associate,2025-04-10T00:00:00+00:00,false
u_00229,ws_0024,paralegal,2025-02-26T00:00:00+00:00,false
u_00221,ws_0023,associate,2026-03-25T00:00:00+00:00,false
u_00480,ws_0056,partner,2025-08-10T00:00:00+00:00,false
u_00456,ws_0048,associate,2025-12-19T00:00:00+00:00,false
u_00334,ws_0035,in_house_counsel,2025-11-12T00:00:00+00:00,false
u_00201,ws_0020,paralegal,2025-03-10T00:00:00+00:00,false
u_00014,ws_0004,paralegal,2025-08-08T00:00:00+00:00,false
u_00220,ws_0023,paralegal,2025-04-04T00:00:00+00:00,false
u_00098,ws_0017,associate,2025-10-06T00:00:00+00:00,false
u_00317,ws_0033,associate,2025-11-16T00:00:00+00:00,false
u_00344,ws_0035,partner,2025-01-23T00:00:00+00:00,false
u_00471,ws_0053,associate,2026-03-18T00:00:00+00:00,false
u_00436,ws_0042,partner,2026-02-17T00:00:00+00:00,false
u_00306,ws_0031,paralegal,2024-11-30T00:00:00+00:00,false
u_00231,ws_0025,associate,2025-08-21T00:00:00+00:00,false
u_00302,ws_0031,paralegal,2025-04-25T00:00:00+00:00,false
u_00072,ws_0010,in_house_counsel,2025-02-12T00:00:00+00:00,false
u_00152,ws_0019,associate,2025-01-22T00:00:00+00:00,false
u_00147,ws_0018,associate,2026-03-13T00:00:00+00:00,false
u_00411,ws_0041,paralegal,2025-10-23T00:00:00+00:00,false
u_00108,ws_0017,paralegal,2025-07-10T00:00:00+00:00,false
u_00245,ws_0026,paralegal,2024-10-28T00:00:00+00:00,false
u_00557,ws_0067,associate,2025-10-22T00:00:00+00:00,false
u_orphan_1,ws_9001,associate,2026-03-21T00:00:00+00:00,false
u_00165,ws_0020,associate,2025-06-18T00:00:00+00:00,false
u_00058,ws_0008,partner,2025-02-26T00:00:00+00:00,false
u_00202,ws_0020,associate,2026-02-28T00:00:00+00:00,false
u_00093,ws_0017,associate,2024-12-30T00:00:00+00:00,false
u_00272,ws_0029,associate,2025-07-20T00:00:00+00:00,true
u_00180,ws_0020,associate,2026-01-27T00:00:00+00:00,false
u_00581,ws_0071,partner,2025-02-16T00:00:00+00:00,false
u_00041,ws_0005,associate,2025-09-28T00:00:00+00:00,false
u_00511,ws_0061,partner,2025-11-27T00:00:00+00:00,false
u_00448,ws_0045,associate,2025-08-16T00:00:00+00:00,false
u_00121,ws_0018,paralegal,2025-08-31T00:00:00+00:00,false
u_00536,ws_0066,in_house_counsel,2025-02-13T00:00:00+00:00,false
u_00370,ws_0036,paralegal,2024-11-16T00:00:00+00:00,false
u_00654,ws_0076,partner,2025-06-13T00:00:00+00:00,false
u_00497,ws_0061,associate,2026-03-12T00:00:00+00:00,false
u_00319,ws_0033,partner,2025-10-25T00:00:00+00:00,true
u_00209,ws_0021,partner,2025-06-21T00:00:00+00:00,false
u_00218,ws_0023,associate,2025-07-23T00:00:00+00:00,false
u_00140,ws_0018,associate,2025-07-18T00:00:00+00:00,false
u_00637,ws_0076,partner,2025-01-29T00:00:00+00:00,false
u_00459,ws_0049,partner,2024-11-14T00:00:00+00:00,false
u_00673,ws_0077,associate,2025-12-29T00:00:00+00:00,false
u_00399,ws_0041,in_house_counsel,2026-03-17T00:00:00+00:00,false
u_00248,ws_0026,associate,2026-03-06T00:00:00+00:00,false
u_00607,ws_0072,paralegal,2026-01-12T00:00:00+00:00,false
u_00437,ws_0043,associate,2024-12-30T00:00:00+00:00,false
u_00432,ws_0041,in_house_counsel,2025-07-22T00:00:00+00:00,false
u_00481,ws_0057,associate,2025-06-19T00:00:00+00:00,false
u_00286,ws_0029,associate,2026-04-12T00:00:00+00:00,false
u_00655,ws_0076,associate,2025-02-10T00:00:00+00:00,false
u_00544,ws_0067,associate,2025-03-27T00:00:00+00:00,false
u_00003,ws_0002,in_house_counsel,2025-11-05T00:00:00+00:00,false
u_00592,ws_0071,partner,2025-09-08T00:00:00+00:00,false
u_00236,ws_0025,associate,2026-03-29T00:00:00+00:00,false
u_00487,ws_0059,associate,2025-07-31T00:00:00+00:00,false
u_00463,ws_0051,in_house_counsel,2025-06-17T00:00:00+00:00,false
u_00192,ws_0020,associate,2025-11-24T00:00:00+00:00,false
u_00445,ws_0044,partner,2025-11-07T00:00:00+00:00,false
u_00540,ws_0066,associate,2025-10-19T00:00:00+00:00,false
u_00323,ws_0033,associate,2026-02-25T00:00:00+00:00,false
u_00602,ws_0072,associate,2026-01-27T00:00:00+00:00,false
u_00476,ws_0055,associate,2025-05-22T00:00:00+00:00,false
u_00668,ws_0077,in_house_counsel,2025-11-25T00:00:00+00:00,false
u_00263,ws_0029,associate,2025-12-07T00:00:00+00:00,false
u_00056,ws_0008,associate,2026-01-27T00:00:00+00:00,false
u_00206,ws_0020,paralegal,2025-11-30T00:00:00+00:00,false
u_00113,ws_0017,partner,2025-06-24T00:00:00+00:00,false
u_00379,ws_0041,associate,2025-06-06T00:00:00+00:00,false
u_00624,ws_0074,associate,2025-08-10T00:00:00+00:00,false
u_00653,ws_0076,paralegal,2025-02-25T00:00:00+00:00,false
u_00178,ws_0020,associate,2025-11-12T00:00:00+00:00,false
u_00075,ws_0010,partner,2026-03-09T00:00:00+00:00,false
u_00176,ws_0020,associate,2024-10-28T00:00:00+00:00,false
u_00666,ws_0077,in_house_counsel,2024-12-11T00:00:00+00:00,false
u_00082,ws_0014,in_house_counsel,2025-09-28T00:00:00+00:00,false
u_00157,ws_0019,partner,2025-12-24T00:00:00+00:00,false
u_00087,ws_0016,associate,2024-12-04T00:00:00+00:00,false
u_00535,ws_0066,associate,2025-12-02T00:00:00+00:00,false
u_00166,ws_0020,associate,2024-12-04T00:00:00+00:00,false
u_00521,ws_0064,in_house_counsel,2025-09-08T00:00:00+00:00,false
u_00025,ws_0005,associate,2024-11-12T00:00:00+00:00,false
u_00532,ws_0066,associate,2026-03-04T00:00:00+00:00,false
u_00298,ws_0030,associate,2024-10-30T00:00:00+00:00,false
u_00099,ws_0017,paralegal,2024-12-05T00:00:00+00:00,false
u_00106,ws_0017,partner,2025-10-04T00:00:00+00:00,false
