workspace_id,country,plan,firm_size_bucket,signup_date
ws_0000,DE,free,1-5,2025-11-27
ws_0001,IT,free,21-100,2025-06-15
ws_0002,IT,pro,1-5,2025-11-30
ws_0003,IT,pro,6-20,2025-03-20
ws_0004,DE,pro,1-5,2025-05-24
ws_0005,IT,enterprise,21-100,2025-12-30
ws_0006,DE,pro,1-5,2024-11-16
ws_0007,DE,free,6-20,2025-09-19
ws_0008,ES,pro,21-100,2025-03-13
ws_0009,IT,free,100+,2026-02-09
ws_0010,IT,enterprise,6-20,2025-01-04
ws_0011,IT,free,1-5,2025-04-17
ws_0012,IT,free,1-5,2025-11-22
ws_0013,ES,pro,6-20,2025-01-18
ws_0014,IT,pro,1-5,2025-11-05
ws_0015,DE,pro,1-5,2025-04-30
ws_0016,IT,pro,1-5,2025-09-08
ws_0017,IT,enterprise,21-100,2025-11-29
ws_0018,DE,enterprise,21-100,2025-11-24
ws_0019,ES,enterprise,6-20,2026-02-16
ws_0020,IT,enterprise,21-100,2025-10-11
ws_0021,IT,pro,21-100,2025-04-26
ws_0022,IT,free,1-5,2025-06-07
ws_0023,IT,pro,6-20,2025-05-27
ws_0024,IT,free,100+,2025-07-04
ws_0025,IT,pro,21-100,2026-01-02
ws_0026,DE,pro,6-20,2026-02-17
ws_0027,IT,pro,6-20,2025-11-13
ws_0028,,enterprise,1-5,2025-03-17
ws_0029,IT,enterprise,21-100,2025-02-21
ws_0030,DE,free,6-20,2025-08-01
ws_0031,IT,pro,21-100,2024-11-09
ws_0032,IT,free,100+,2024-12-31
ws_0033,DE,enterprise,6-20,2025-12-10
ws_0034,IT,pro,6-20,2025-02-16
ws_0035,ES,enterprise,6-20,2025-07-14
ws_0036,IT,enterprise,21-100,2025-01-20
ws_0037,ES,free,1-5,2025-06-04
ws_0038,ES,free,6-20,2026-02-14
ws_0039,,pro,1-5,2025-04-18
ws_0040,IT,pro,1-5,2024-12-30
ws_0041,DE,enterprise,100+,2025-02-28
ws_0042,DE,free,6-20,2024-10-28
ws_0043,DE,pro,21-100,2025-08-02
ws_0044,IT,free,6-20,2025-05-24
ws_0045,IT,pro,1-5,2025-03-24
ws_0046,DE,free,100+,2025-01-05
ws_0047,IT,pro,1-5,2025-07-16
ws_0048,IT,free,100+,2025-06-02
ws_0049,IT,free,6-20,2025-08-25
ws_0050,IT,free,6-20,2025-08-17
ws_0051,IT,enterprise,1-5,2025-04-21
ws_0052,,free,6-20,2025-09-29
ws_0053,ES,free,1-5,2025-06-20
ws_0054,IT,pro,1-5,2025-11-14
ws_0055,ES,free,21-100,2025-01-07
ws_0056,IT,free,100+,2025-01-17
ws_0057,IT,free,21-100,2025-11-20
ws_0058,IT,pro,1-5,2025-08-28
ws_0059,ES,free,1-5,2025-09-03
ws_0060,IT,pro,6-20,2025-08-17
ws_0061,DE,pro,21-100,2025-04-17
ws_0062,DE,free,1-5,2024-11-11
ws_0063,IT,pro,1-5,2025-10-12
ws_0064,IT,pro,6-20,2025-01-09
ws_0065,IT,free,6-20,2025-01-10
ws_0066,IT,pro,21-100,2025-11-21
ws_0067,IT,enterprise,6-20,2025-05-29
ws_0068,IT,pro,6-20,2025-05-27
ws_0069,IT,pro,1-5,2025-04-13
ws_0070,DE,free,6-20,2025-04-12
ws_0071,DE,pro,100+,2024-11-27
ws_0072,IT,pro,100+,2024-10-27
ws_0073,IT,pro,6-20,2026-01-13
ws_0074,ES,enterprise,21-100,2025-09-13
ws_0075,IT,pro,6-20,2025-10-18
ws_0076,DE,enterprise,21-100,2026-03-17
ws_0077,DE,pro,100+,2026-01-27
ws_0078,ES,free,1-5,2026-01-26
ws_0079,DE,free,1-5,2025-12-04
